Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","484","Mexico","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","132675.18","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","kg/ha","15540.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","132914","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","14398","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","114461.82","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","14889.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","118152.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01341","Apples","2020","2020","kg/ha","12594.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01341","Apples","2020","2020","t","714203.2","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01341","Apples","2021","2021","kg/ha","11307","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01341","Apples","2021","2021","t","631766.79","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01341","Apples","2022","2022","kg/ha","14720.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01341","Apples","2022","2022","t","808906.03","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01341","Apples","2023","2023","kg/ha","14931.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01341","Apples","2023","2023","t","814533.51","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01343","Apricots","2020","2020","kg/ha","5293.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01343","Apricots","2020","2020","t","1093.51","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01343","Apricots","2021","2021","kg/ha","5405.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01343","Apricots","2021","2021","t","1088.95","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01343","Apricots","2022","2022","kg/ha","5447.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01343","Apricots","2022","2022","t","714.49","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01343","Apricots","2023","2023","kg/ha","5496","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01343","Apricots","2023","2023","t","1039.01","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01216","Artichokes","2020","2020","kg/ha","12768.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01216","Artichokes","2020","2020","t","3423.45","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01216","Artichokes","2021","2021","kg/ha","13197.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01216","Artichokes","2021","2021","t","3258.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01216","Artichokes","2022","2022","kg/ha","14146.2","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01216","Artichokes","2022","2022","t","2029.98","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01216","Artichokes","2023","2023","kg/ha","14478.4","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01216","Artichokes","2023","2023","t","2019.74","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01211","Asparagus","2020","2020","kg/ha","9410.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01211","Asparagus","2020","2020","t","300575.12","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01211","Asparagus","2021","2021","kg/ha","9429.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01211","Asparagus","2021","2021","t","328990.33","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01211","Asparagus","2022","2022","kg/ha","9956.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01211","Asparagus","2022","2022","t","357839.33","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01211","Asparagus","2023","2023","kg/ha","9331.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01211","Asparagus","2023","2023","t","347291.22","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01311","Avocados","2020","2020","kg/ha","10666.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01311","Avocados","2020","2020","t","2393848.57","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01311","Avocados","2021","2021","kg/ha","10784","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01311","Avocados","2021","2021","t","2442944.64","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01311","Avocados","2022","2022","kg/ha","10759.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01311","Avocados","2022","2022","t","2540715.37","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01311","Avocados","2023","2023","kg/ha","11738","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01311","Avocados","2023","2023","t","2973344.42","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01312","Bananas","2020","2020","kg/ha","30900","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01312","Bananas","2020","2020","t","2464171.34","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01312","Bananas","2021","2021","kg/ha","30200.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01312","Bananas","2021","2021","t","2405891.33","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01312","Bananas","2022","2022","kg/ha","30755.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01312","Bananas","2022","2022","t","2593024.74","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01312","Bananas","2023","2023","kg/ha","30734.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01312","Bananas","2023","2023","t","2642338.39","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","0115","Barley","2020","2020","kg/ha","2937.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","0115","Barley","2020","2020","t","864293.27","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","0115","Barley","2021","2021","kg/ha","3012.2","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","0115","Barley","2021","2021","t","1032812.06","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","0115","Barley","2022","2022","kg/ha","2960.2","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","0115","Barley","2022","2022","t","1023969.25","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","0115","Barley","2023","2023","kg/ha","2797.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","0115","Barley","2023","2023","t","832037.28","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01701","Beans, dry","2020","2020","kg/ha","673.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01701","Beans, dry","2020","2020","t","1056070.61","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01701","Beans, dry","2021","2021","kg/ha","772","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01701","Beans, dry","2021","2021","t","1288806.47","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","666.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01701","Beans, dry","2022","2022","t","965370.65","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","950.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01701","Beans, dry","2023","2023","t","723642.32","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01355.01","Blueberries","2020","2020","kg/ha","10909.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01355.01","Blueberries","2020","2020","t","50292.63","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01355.01","Blueberries","2021","2021","kg/ha","11398.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01355.01","Blueberries","2021","2021","t","66481.52","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01355.01","Blueberries","2022","2022","kg/ha","15434.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01355.01","Blueberries","2022","2022","t","66846.62","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01355.01","Blueberries","2023","2023","kg/ha","13731.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01355.01","Blueberries","2023","2023","t","80133.49","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01702","Broad beans and horse beans, dry","2020","2020","kg/ha","1587.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01702","Broad beans and horse beans, dry","2020","2020","t","37108.04","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01702","Broad beans and horse beans, dry","2021","2021","kg/ha","1605.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01702","Broad beans and horse beans, dry","2021","2021","t","37578.07","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01702","Broad beans and horse beans, dry","2022","2022","kg/ha","1364.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01702","Broad beans and horse beans, dry","2022","2022","t","23517.17","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01702","Broad beans and horse beans, dry","2023","2023","kg/ha","1671.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01702","Broad beans and horse beans, dry","2023","2023","t","28262.29","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01243","Broad beans and horse beans, green","2020","2020","kg/ha","6345.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01243","Broad beans and horse beans, green","2020","2020","t","82536.74","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01243","Broad beans and horse beans, green","2021","2021","kg/ha","6391.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01243","Broad beans and horse beans, green","2021","2021","t","82423.94","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01243","Broad beans and horse beans, green","2022","2022","kg/ha","6558.2","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01243","Broad beans and horse beans, green","2022","2022","t","61883.15","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01243","Broad beans and horse beans, green","2023","2023","kg/ha","6842.4","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01243","Broad beans and horse beans, green","2023","2023","t","68974.86","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01212","Cabbages","2020","2020","kg/ha","33610.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01212","Cabbages","2020","2020","t","244606.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01212","Cabbages","2021","2021","kg/ha","33879.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01212","Cabbages","2021","2021","t","236505.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01212","Cabbages","2022","2022","kg/ha","34024.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01212","Cabbages","2022","2022","t","205167.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01212","Cabbages","2023","2023","kg/ha","34165.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01212","Cabbages","2023","2023","t","227321.92","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01195","Canary seed","2020","2020","kg/ha","1269.4","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01195","Canary seed","2020","2020","t","2.45","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01195","Canary seed","2021","2021","kg/ha","1269.4","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01195","Canary seed","2021","2021","t","2.45","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01195","Canary seed","2022","2022","kg/ha","1600","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01195","Canary seed","2022","2022","t","3.28","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01195","Canary seed","2023","2023","kg/ha","1429.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01195","Canary seed","2023","2023","t","2.93","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01229","Cantaloupes and other melons","2020","2020","kg/ha","32065","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01229","Cantaloupes and other melons","2020","2020","t","612939.93","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01229","Cantaloupes and other melons","2021","2021","kg/ha","30943.4","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01229","Cantaloupes and other melons","2021","2021","t","550282.05","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01229","Cantaloupes and other melons","2022","2022","kg/ha","32182.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01229","Cantaloupes and other melons","2022","2022","t","579900.93","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01229","Cantaloupes and other melons","2023","2023","kg/ha","32821.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01229","Cantaloupes and other melons","2023","2023","t","648541","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01251","Carrots and turnips","2020","2020","kg/ha","29811.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01251","Carrots and turnips","2020","2020","t","361080.16","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01251","Carrots and turnips","2021","2021","kg/ha","29360.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01251","Carrots and turnips","2021","2021","t","344889.84","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01251","Carrots and turnips","2022","2022","kg/ha","30070.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01251","Carrots and turnips","2022","2022","t","355441.09","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01251","Carrots and turnips","2023","2023","kg/ha","29886.2","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01251","Carrots and turnips","2023","2023","t","350452.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01372","Cashew nuts, in shell","2020","2020","kg/ha","2587.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01372","Cashew nuts, in shell","2020","2020","t","4077.27","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01372","Cashew nuts, in shell","2021","2021","kg/ha","2605.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01372","Cashew nuts, in shell","2021","2021","t","3781.05","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01372","Cashew nuts, in shell","2022","2022","kg/ha","979","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01372","Cashew nuts, in shell","2022","2022","t","726.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01372","Cashew nuts, in shell","2023","2023","kg/ha","835","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01372","Cashew nuts, in shell","2023","2023","t","687.61","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01520.01","Cassava, fresh","2020","2020","kg/ha","12677.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01520.01","Cassava, fresh","2020","2020","t","26696.48","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01520.01","Cassava, fresh","2021","2021","kg/ha","12872.2","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01520.01","Cassava, fresh","2021","2021","t","26730.97","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01520.01","Cassava, fresh","2022","2022","kg/ha","12225.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01520.01","Cassava, fresh","2022","2022","t","23719.56","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01520.01","Cassava, fresh","2023","2023","kg/ha","12258.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01520.01","Cassava, fresh","2023","2023","t","23991.48","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01447","Castor oil seeds","2020","2020","kg/ha","3277.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01447","Castor oil seeds","2020","2020","t","3123.11","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01447","Castor oil seeds","2021","2021","kg/ha","3698.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01447","Castor oil seeds","2021","2021","t","2587.52","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01447","Castor oil seeds","2022","2022","kg/ha","4017.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01447","Castor oil seeds","2022","2022","t","297.32","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01447","Castor oil seeds","2023","2023","kg/ha","4079.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01447","Castor oil seeds","2023","2023","t","301.91","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01213","Cauliflowers and broccoli","2020","2020","kg/ha","17913.6","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01213","Cauliflowers and broccoli","2020","2020","t","686788.27","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01213","Cauliflowers and broccoli","2021","2021","kg/ha","18096.8","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01213","Cauliflowers and broccoli","2021","2021","t","696406.81","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01213","Cauliflowers and broccoli","2022","2022","kg/ha","18222.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01213","Cauliflowers and broccoli","2022","2022","t","738027.84","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01213","Cauliflowers and broccoli","2023","2023","kg/ha","18415.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01213","Cauliflowers and broccoli","2023","2023","t","768353.55","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01199.90","Cereals n.e.c.","2020","2020","kg/ha","1936.4","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01199.90","Cereals n.e.c.","2020","2020","t","5625.41","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01199.90","Cereals n.e.c.","2021","2021","kg/ha","1934.1","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01199.90","Cereals n.e.c.","2021","2021","t","6177.72","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01199.90","Cereals n.e.c.","2022","2022","kg/ha","1781.4","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01199.90","Cereals n.e.c.","2022","2022","t","5720.89","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01199.90","Cereals n.e.c.","2023","2023","kg/ha","1789.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01199.90","Cereals n.e.c.","2023","2023","t","5996.22","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01344.02","Cherries","2020","2020","kg/ha","2975.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01344.02","Cherries","2020","2020","t","143.5","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01344.02","Cherries","2021","2021","kg/ha","3009.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01344.02","Cherries","2021","2021","t","155.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01344.02","Cherries","2022","2022","kg/ha","4377.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01344.02","Cherries","2022","2022","t","144.45","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01344.02","Cherries","2023","2023","kg/ha","3414.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01344.02","Cherries","2023","2023","t","129.76","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01703","Chick peas, dry","2020","2020","kg/ha","2016.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01703","Chick peas, dry","2020","2020","t","125822.67","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01703","Chick peas, dry","2021","2021","kg/ha","1870.2","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01703","Chick peas, dry","2021","2021","t","171967.76","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01703","Chick peas, dry","2022","2022","kg/ha","1696.9","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01703","Chick peas, dry","2022","2022","t","188594.77","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01703","Chick peas, dry","2023","2023","kg/ha","1893.7","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01703","Chick peas, dry","2023","2023","t","142683.67","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","2020","kg/ha","1953.9","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2020","2020","t","61003.57","I","Imputed value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","kg/ha","1969.5","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2021","2021","t","60809.47","I","Imputed value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","2022","kg/ha","1986.3","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","2022","t","60949.97","I","Imputed value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","2023","kg/ha","2003.1","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","2023","t","61090.47","I","Imputed value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","kg/ha","17848.3","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","t","2818442.96","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","kg/ha","17483.1","A","Official figure",""
